                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82418,                0.39298,                0.78534,                0.92889,                0.70722,                0.79503,                0.55029,                0.80206,                0.38931,                0.79676,             0.00081688,             0.00081688,             0.00081688
                     37,                0.82676,                0.39349,                0.78702,                0.88717,                0.74437,                0.80285,                0.54305,                0.86235,                0.41437,                0.79843,              0.0008045,              0.0008045,              0.0008045
                     38,                0.88001,                0.40988,                0.78801,                0.91501,                0.70049,                0.79669,                0.54015,                0.85265,                0.41134,                0.79791,             0.00079213,             0.00079213,             0.00079213
                     39,                0.95595,                0.43087,                0.79193,                0.91242,                0.72295,                0.79615,                0.53068,                0.89968,                0.41569,                0.79948,             0.00077975,             0.00077975,             0.00077975
                     40,                0.86073,                0.39973,                0.78795,                0.88734,                 0.7447,                0.79426,                0.56075,                0.80823,                0.39016,                0.79842,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.8294,                  0.389,                0.78607,                0.87558,                 0.7397,                0.78922,                0.55261,                0.80833,                0.38922,                0.79516,               0.000755,               0.000755,               0.000755
                     42,                0.80203,                0.38053,                0.78689,                0.93586,                0.72468,                0.78804,                 0.5427,                0.81436,                0.39622,                0.79507,             0.00074263,             0.00074263,             0.00074263
                     43,                0.83512,                0.39645,                0.78326,                0.89004,                0.73487,                0.80308,                 0.5656,                0.78309,                0.38043,                0.79395,             0.00073025,             0.00073025,             0.00073025
                     44,                0.82271,                 0.3873,                0.78589,                0.89876,                0.70056,                0.76578,                0.54785,                0.79331,                0.40264,                 0.7961,             0.00071788,             0.00071788,             0.00071788
                     45,                0.82902,                0.39633,                0.78431,                0.92185,                0.68523,                0.78379,                0.54774,                 0.8166,                0.39342,                0.79503,              0.0007055,              0.0007055,              0.0007055
